Perfume,autumn,day,dislike,like,longevity,love,night,sillage,spring,summer,url,winter,predominant_accord,Price
Coco Mademoiselle Chanel,0.454545455,0.463414634,0.206521739,0.540540541,0.803268512,1,0.319587629,0.629971301,0.41025641,0.173913043,https://www.fragrantica.com//perfume/Chanel/Coco-Mademoiselle-611.html,0.294117647,citrus,1586
Viktor&amp;Rolf Flowerbomb,0.424242424,0.317073171,0.5,0.72972973,0.626542746,1,0.463917526,0.549847884,0.243589744,0.130434783,"https://www.fragrantica.com/href=""/perfume/Viktor-Rolf/Flowerbomb-1460.html",0.482352941,floral,2295
Chanel Chance Eau de Toilette,0.378787879,0.585365854,0.391304348,1,0.682360352,0.797101449,0.278350515,0.570958943,0.538461538,0.260869565,"https://www.fragrantica.com/href=""/perfume/Chanel/Chance-Eau-de-Toilette-610.html",0.235294118,citrus,2599
Chanel Coco Noir,0.696969697,0.243902439,0.260869565,0.635135135,0.566913115,1,0.546391753,0.441457536,0.153846154,0.076086957,"https://www.fragrantica.com/href=""/perfume/Chanel/Coco-Noir-15963.html",0.517647059,citrus,225
Christian Dior Dior Addict,0.409090909,0.036585366,0.315217391,0.472972973,0.870383505,1,0.649484536,0.792458084,0.025641026,0.032608696,"https://www.fragrantica.com/href=""/perfume/Christian-Dior/Dior-Addict-215.html",0.6,floral,7899
Chanel Coco Eau de Parfum,0.484848485,0.097560976,0.163043478,0.378378378,0.776453176,1,0.484536082,0.681104712,0.051282051,0.054347826,"https://www.fragrantica.com/href=""/perfume/Chanel/Coco-Eau-de-Parfum-609.html",0.494117647,spicy,1586
Chloé Chloe Eau de Parfum,0.363636364,0.670731707,0.402173913,0.716216216,0.665325113,1,0.175257732,0.46268317,0.641025641,0.282608696,"https://www.fragrantica.com/href=""/perfume/Chlo-/Chloe-Eau-de-Parfum-1733.html",0.188235294,floral,349
Chanel Chance Eau Tendre,0.090909091,0.658536585,0.195652174,0.810810811,0.404908366,1,0.06185567,0.299860825,0.641025641,0.456521739,"https://www.fragrantica.com/href=""/perfume/Chanel/Chance-Eau-Tendre-8069.html",0.058823529,floral,2599
Chanel Chance Eau Fraiche,0.090909091,0.768292683,0.217391304,0.864864865,0.470378569,1,0.082474227,0.374475858,0.564102564,0.641304348,"https://www.fragrantica.com/href=""/perfume/Chanel/Chance-Eau-Fraiche-1483.html",0.058823529,woody,2599
Dolce&amp;Gabbana The One,0.666666667,0.43902439,0.456521739,1,0.607854496,0.695652174,0.515463918,0.443044154,0.179487179,0.086956522,"https://www.fragrantica.com/href=""/perfume/Dolce-Gabbana/The-One-698.html",0.494117647,fruity,349
Chanel Coco Mademoiselle Eau de Toilette,0.424242424,0.512195122,0.173913043,0.810810811,0.563480367,1,0.268041237,0.464741075,0.474358974,0.260869565,"https://www.fragrantica.com/href=""/perfume/Chanel/Coco-Mademoiselle-Eau-de-Toilette-612.html",0.247058824,citrus,925
Narciso Rodriguez Narciso Rodriguez For Her,0.5,0.317073171,0.282608696,0.621621622,0.60466628,1,0.474226804,0.439990976,0.256410256,0.119565217,"https://www.fragrantica.com/href=""/perfume/Narciso-Rodriguez/Narciso-Rodriguez-For-Her-209.html",0.411764706,floral,2850
