Perfume,autumn,day,dislike,like,longevity,love,night,sillage,spring,summer,winter,Price_flipkart,predominant_accord
Coco Mademoiselle Chanel,0.439393939,0.45,0.197802198,0.546666667,0.814256536,1,0.319587629,0.631283332,0.470588235,0.173913043,0.294117647,699,citrus
La Nuit de l'Homme Yves Saint Laurent,0.681818182,0.025,0,0.28,0.549259337,1,0.639175258,0.365107382,0.235294118,0.065217391,0.6,12857,aromatic
Light Blue Dolce&amp;Gabbana;,0.060606061,0.8625,0.483516484,1,0.370494283,0.68115942,0.072164948,0.287686098,0.470588235,0.826086957,0.070588235,5500,citrus
Hypnotic Poison Christian Dior,0.424242424,0.0625,0.296703297,0.36,0.830331743,1,0.577319588,0.691470201,0.029411765,0.032608696,0.6,2499,sweet
Alien Mugler,0.454545455,0.1,0.417582418,0.48,0.926719296,1,0.597938144,0.891397761,0.132352941,0.076086957,0.541176471,9160,floral
J'adore Christian Dior,0.348484848,0.525,0.461538462,1,0.627459672,0.623188406,0.329896907,0.466978437,0.602941176,0.217391304,0.2,9383,floral
Black Orchid Tom Ford,0.53030303,0,0.417582418,0.4,0.933088099,1,0.639175258,0.853647931,0.044117647,0.032608696,0.6,1822,spicy
Terre d'Hermes Hermès,0.651515152,0.55,0.120879121,0.36,0.673902835,1,0.278350515,0.467065935,0.617647059,0.304347826,0.270588235,0,citrus
Lolita Lempicka Lolita Lempicka,0.590909091,0.4,0.428571429,0.826666667,0.607507599,1,0.536082474,0.45677841,0.264705882,0.108695652,0.611764706,3638,sweet
Flowerbomb Viktor&amp;Rolf;,0.424242424,0.2875,0.494505495,0.733333333,0.638128195,1,0.463917526,0.552051969,0.279411765,0.119565217,0.482352941,12423,floral
Angel Mugler,0.393939394,0.1125,1,0.44,0.990685935,0.84057971,0.639175258,0.975517215,0.088235294,0.065217391,0.658823529,9102,sweet
Bleu de Chanel Chanel,0.651515152,0.65,0.208791209,0.72,0.608991931,1,0.567010309,0.39299031,0.823529412,0.554347826,0.341176471,1003,citrus
Aventus Creed,0.439393939,0.4625,0.021978022,0.066666667,0.676646681,1,0.329896907,0.504042069,0.617647059,0.489130435,0.2,1701,fruity
Euphoria Calvin Klein,0.606060606,0.175,0.450549451,1,0.655411077,0.739130435,0.680412371,0.587621702,0.161764706,0.086956522,0.6,3602,woody
Shalimar Eau de Parfum Guerlain,0.454545455,0.075,0.373626374,0.32,0.743700521,1,0.494845361,0.621129744,0.073529412,0.076086957,0.458823529,299,citrus
Le Male Jean Paul Gaultier,0.772727273,0.3875,0.538461538,0.866666667,0.84138093,1,0.783505155,0.674568497,0.367647059,0.173913043,0.776470588,2891,aromatic
Acqua di Gio Giorgio Armani,0.060606061,0.875,0.230769231,1,0.420040551,0.782608696,0.144329897,0.308773791,0.558823529,0.847826087,0.047058824,6000,citrus
L'Eau d'Issey Pour Homme Issey Miyake,0.196969697,0.925,0.263736264,0.853333333,0.651505891,1,0.195876289,0.494627918,0.838235294,0.880434783,0.082352941,3818,citrus
Tobacco Vanille Tom Ford,0.5,0.075,0.10989011,0.2,0.920939636,1,0.474226804,0.821583379,0,0,0.564705882,5383,sweet
CK One Calvin Klein,0.060606061,0.6,0.197802198,1,0.357050949,0,0.041237113,0.218155991,0.397058824,0.543478261,0.047058824,4499,citrus
Fahrenheit Christian Dior,0.636363636,0.2625,0.32967033,0.413333333,0.713674985,1,0.546391753,0.647113623,0.235294118,0.108695652,0.564705882,6999,leather
Viva la Juicy Juicy Couture,0.287878788,0.6125,0.362637363,0.853333333,0.337524511,1,0.18556701,0.303186328,0.397058824,0.445652174,0.188235294,4100,floral
Chloe Eau de Parfum Chloé,0.363636364,0.6625,0.395604396,0.72,0.674674743,1,0.175257732,0.46324542,0.720588235,0.282608696,0.188235294,299,floral
The One for Men Dolce&amp;Gabbana;,0.848484848,0.3125,0.065934066,0.653333333,0.342721524,1,0.649484536,0.142682315,0.441176471,0.184782609,0.564705882,3800,spicy
Fantasy Britney Spears,0.439393939,0.75,0.450549451,0.946666667,0.674812577,1,0.371134021,0.604061838,0.382352941,0.304347826,0.611764706,4300,sweet
Encre Noire Lalique,0.757575758,0.3125,0.142857143,0.44,0.681640154,1,0.556701031,0.484957163,0.279411765,0.065217391,0.647058824,2176,woody
Crystal Noir Versace,0.696969697,0.1375,0.461538462,0.813333333,0.70369626,1,0.773195876,0.600412651,0.147058824,0.141304348,0.611764706,3349,spicy
Dior Addict Christian Dior,0.409090909,0.0125,0.307692308,0.48,0.886477945,1,0.649484536,0.796401015,0.029411765,0.032608696,0.6,3662,floral
1 Million Paco Rabanne,0.818181818,0.15,0.791208791,0.986666667,0.888914137,0.898550725,1,0.895071362,0.191176471,0.108695652,0.941176471,5040,spicy
Bright Crystal Versace,0.045454545,0.625,0.351648352,1,0.357652973,0.347826087,0.06185567,0.250999449,0.632352941,0.489130435,0.047058824,8940,floral
The One Dolce&amp;Gabbana;,0.666666667,0.425,0.43956044,1,0.61522866,0.695652174,0.515463918,0.444284789,0.205882353,0.086956522,0.482352941,3800,fruity
Narciso Rodriguez For Her Narciso Rodriguez,0.484848485,0.3,0.274725275,0.626666667,0.614175704,1,0.474226804,0.441496554,0.294117647,0.119565217,0.411764706,6899,floral
Coco Eau de Parfum Chanel,0.484848485,0.075,0.164835165,0.386666667,0.786336377,1,0.484536082,0.683648044,0.058823529,0.043478261,0.482352941,2974,spicy
La Vie Est Belle Lancome,0.727272727,0.5125,0.802197802,0.76,0.840948001,1,0.515463918,0.723189831,0.235294118,0.086956522,0.670588235,1299,sweet
Cool Water Davidoff,0.015151515,0.75,0.516483516,1,0.369221692,0.144927536,0.051546392,0.30858292,0.279411765,0.695652174,0.035294118,3175,floral
Armani Code for Women Giorgio Armani,0.590909091,0.15,0.351648352,1,0.589903035,0.768115942,0.742268041,0.486655239,0.147058824,0.086956522,0.588235294,5599,citrus
Allure Homme Sport Chanel,0.257575758,0.7125,0.076923077,0.506666667,0.617109314,1,0.195876289,0.410053713,0.661764706,0.684782609,0.094117647,921,citrus
DKNY Be Delicious Donna Karan,0.075757576,0.725,0.450549451,1,0.432673016,0.260869565,0.030927835,0.326616088,0.588235294,0.619565217,0.023529412,0,fruity
A*Men Mugler,0.636363636,0.2,0.43956044,0.426666667,0.983217136,1,0.773195876,0.942556746,0.073529412,0.032608696,0.894117647,6301,sweet
Versace Pour Homme Versace,0.212121212,0.8875,0.065934066,0.773333333,0.469254476,1,0.195876289,0.327804375,0.823529412,0.880434783,0.070588235,6050,citrus
Chanel No 5 Parfum Chanel,0.53030303,0.2375,0.934065934,0.6,0.722123663,1,0.597938144,0.519042808,0.220588235,0.119565217,0.552941176,1699,woody
L'Homme Yves Saint Laurent,0.560606061,0.7125,0.021978022,0.56,0.37473922,1,0.226804124,0.213662712,0.852941176,0.52173913,0.152941176,12857,spicy
Spicebomb Viktor&amp;Rolf;,0.696969697,0.15,0.153846154,0.506666667,0.654104877,1,0.577319588,0.574119454,0.117647059,0.032608696,0.682352941,10225,spicy
Pink Sugar Aquolina,0.515151515,0.8125,0.824175824,0.973333333,0.71025781,1,0.24742268,0.621102381,0.352941176,0.27173913,0.635294118,1426,sweet
Classique Jean Paul Gaultier,0.560606061,0.25,0.538461538,1,0.749640788,0.956521739,0.628865979,0.691291619,0.191176471,0.097826087,0.541176471,4724,sweet
Daisy Marc Jacobs,0.060606061,0.6375,0.395604396,1,0.263991118,0.391304348,0.030927835,0.179322684,0.705882353,0.358695652,0.023529412,5442,floral
A*Men Pure Malt Mugler,0.666666667,0.1,0.032967033,0.186666667,0.667536863,1,0.567010309,0.448476753,0.102941176,0.032608696,0.658823529,14964,fruity
Dior Homme Intense 2011 Christian Dior,0.575757576,0.0375,0,0,0.88547843,1,0.525773196,0.649316624,0.102941176,0.032608696,0.6,8250,woody
Versace Man Eau Fraiche Versace,0.060606061,1,0.142857143,1,0.411158055,0.898550725,0.092783505,0.298600258,0.632352941,1,0.023529412,2496,citrus
London for Men Burberry,0.984848485,0.5,0.10989011,0.733333333,0.409566041,1,0.670103093,0.26779498,0.073529412,0.02173913,0.858823529,2280,sweet
Nina Nina Ricci,0.287878788,0.7125,0.285714286,1,0.404392389,0.594202899,0.134020619,0.328706618,0.676470588,0.336956522,0.188235294,5467,citrus
Chergui Serge Lutens,0.590909091,0.1875,0.076923077,0.466666667,0.689811415,1,0.422680412,0.491549791,0.044117647,0.02173913,0.494117647,8306,sweet
Poison Christian Dior,0.5,0.025,0.648351648,0.6,0.928653574,1,0.711340206,0.928621712,0.073529412,0.054347826,0.623529412,11499,sweet
Chance Eau Tendre Chanel,0.090909091,0.65,0.186813187,0.813333333,0.406635279,1,0.06185567,0.299046421,0.735294118,0.456521739,0.058823529,759,floral
Chance Eau de Toilette Chanel,0.378787879,0.575,0.384615385,1,0.692413069,0.811594203,0.278350515,0.57465557,0.617647059,0.260869565,0.235294118,792,citrus
L de Lolita Lempicka Lolita Lempicka,0.5,0.5375,0.340659341,0.84,0.605999449,1,0.402061856,0.521549257,0.132352941,0.173913043,0.611764706,3638,spicy
Prada Candy Prada,0.757575758,0.55,0.714285714,0.906666667,0.335805671,1,0.309278351,0.202960547,0.132352941,0.097826087,0.517647059,5781,sweet
Pure Poison Christian Dior,0.484848485,0.375,0.417582418,0.92,0.699284908,1,0.536082474,0.585130756,0.426470588,0.163043478,0.482352941,1799,floral
Armani Code Giorgio Armani,0.772727273,0.1625,0.186813187,0.96,0.498615127,1,0.855670103,0.33793022,0.25,0.108695652,0.729411765,1783,citrus
Samsara Eau de Parfum Guerlain,0.515151515,0.125,0.351648352,0.706666667,0.784918737,1,0.556701031,0.691351147,0.073529412,0.065217391,0.541176471,299,woody
A*Men Pure Havane Mugler,0.666666667,0.2,0.021978022,0.2,0.731493171,1,0.494845361,0.611838541,0.132352941,0.032608696,0.6,14964,sweet
Miss Dior Cherie Christian Dior,0.333333333,0.6125,0.395604396,0.76,0.616099562,1,0.24742268,0.495855702,0.661764706,0.25,0.211764706,11763,sweet
Burberry Brit Burberry,0.651515152,0.5375,0.263736264,1,0.572286491,0.550724638,0.206185567,0.413179637,0.191176471,0.086956522,0.458823529,3173,sweet
